Time,In Bit Rate,Out Bit Rate
29.Apr 02:00,806237.2,798616.75
29.Apr 02:05,1016137.31,1007858.59
29.Apr 02:10,799084.99,791407.23
29.Apr 02:15,811141.41,803728.19
29.Apr 02:20,912683.36,905578
29.Apr 02:25,790784.35,783581.71
29.Apr 02:30,771685.04,764023.95
29.Apr 02:35,831027.73,823525.47
29.Apr 02:40,817549.87,810124.88
29.Apr 02:45,801413.65,792918.67
29.Apr 02:50,1106523.31,1098306.75
29.Apr 02:55,837456.21,829662.21
29.Apr 03:00,1334539.52,1326956.67
29.Apr 03:05,2829203.04,2821359.81
29.Apr 03:10,780880.56,773839.25
29.Apr 03:15,755380.83,746750.08
29.Apr 03:20,1228745.2,1220789.87
29.Apr 03:25,758765.79,750572.53
29.Apr 03:30,1969904.91,1961961.87
29.Apr 03:35,1664944.61,1657144.85
29.Apr 03:40,763683.89,756021.71
29.Apr 03:45,746763.95,739538.08
29.Apr 03:50,1041802.93,1034557.52
29.Apr 03:55,802367.79,794436.21
29.Apr 04:00,762747.31,756093.07
29.Apr 04:05,1118197.6,1506321.71
29.Apr 04:10,778353.55,771068.72
29.Apr 04:15,770577.44,763634.75
29.Apr 04:20,945991.07,937873.92
29.Apr 04:25,706502.48,698473.97
29.Apr 04:30,680605.49,673554.85
29.Apr 04:35,903600.56,896334.88
29.Apr 04:40,797205.39,790373.97
29.Apr 04:45,834390.45,825867.49
29.Apr 04:50,1072340,1064028.96
29.Apr 04:55,730924.29,724396.08
29.Apr 05:00,780323.23,773552.27
29.Apr 05:05,1074759.07,1066962.21
29.Apr 05:10,3055030.35,3047205.41
29.Apr 05:15,803499.04,796086.93
29.Apr 05:20,1025793.12,1017845.44
29.Apr 05:25,866831.15,858312.67
29.Apr 05:30,881148.27,871862.61
29.Apr 05:35,1017286.48,1009902.43
29.Apr 05:40,716277.84,710046.85
29.Apr 05:45,842951.68,835902.67
29.Apr 05:50,2840118.19,2832163.79
29.Apr 05:55,788910.69,781491.71
29.Apr 06:00,729244.21,722507.71
29.Apr 06:05,866248,859123.36
29.Apr 06:10,768625.12,761753.33
29.Apr 06:15,781541.09,773980.59
29.Apr 06:20,845282.45,837729.79
29.Apr 06:25,805926.16,798302.21
29.Apr 06:30,837992.85,830822.29
29.Apr 06:35,1285215.28,1275770.51
29.Apr 06:40,804598.29,796814.16
29.Apr 06:45,684710.45,677500.88
29.Apr 06:50,958790,951283.31
29.Apr 06:55,921352.69,911804.93
29.Apr 07:00,761093.92,754379.2
29.Apr 07:05,1026838.75,1018956.64
29.Apr 07:10,822280.91,813582.77
29.Apr 07:15,781865.07,774162.88
29.Apr 07:20,1238018.51,1229787.04
29.Apr 07:25,844861.81,836553.65
29.Apr 07:30,788593.04,780873.15
